title,heading,content,tokens
Cannabis (drug),Neuroimaging,"Although global abnormalities in white matter and grey matter are not consistently associated with heavy cannabis use, reduced hippocampal volume is consistently found. Amygdala abnormalities are sometimes reported, although findings are inconsistent.Cannabis use is associated with increased recruitment of task-related areas, such as the dorsolateral prefrontal cortex, which is thought to reflect compensatory activity due to reduced processing efficiency. Cannabis use is also associated with downregulation of CB1 receptors. The magnitude of down regulation is associated with cumulative cannabis exposure, and is reversed after one month of abstinence. There is limited evidence that chronic cannabis use can reduce levels of glutamate metabolites in the human brain.",132
Cannabis (drug),Cannabis dependence,"About 9% of those who experiment with marijuana eventually become dependent according to DSM-IV (1994) criteria. A 2013 review estimates daily use is associated with a 10–20% rate of dependence. The highest risk of cannabis dependence is found in those with a history of poor academic achievement, deviant behavior in childhood and adolescence, rebelliousness, poor parental relationships, or a parental history of drug and alcohol problems. Of daily users, about 50% experience withdrawal upon cessation of use (i.e. are dependent), characterized by sleep problems, irritability, dysphoria, and craving. Cannabis withdrawal is less severe than withdrawal from alcohol.According to DSM-V criteria, 9% of those who are exposed to cannabis develop cannabis use disorder, compared to 20% for cocaine, 23% for alcohol and 68% for nicotine. Cannabis use disorder in the DSM-V involves a combination of DSM-IV criteria for cannabis abuse and dependence, plus the addition of craving, without the criterion related to legal troubles.",205
Cannabis (drug),Psychiatric,"At an epidemiological level, a dose–response relationship exists between cannabis use and increased risk of psychosis and earlier onset of psychosis. Although the epidemiological association is robust, evidence to prove a causal relationship is lacking. But a biological causal pathway is plausible, especially if there is a genetic predisposition to mental illness, in which case cannabis may be a trigger.Cannabis may also increase the risk of depression, but insufficient research has been performed to draw a conclusion. Cannabis use is associated with increased risk of anxiety disorders, although causality has not been established.A review in 2019 found that research was insufficient to determine the safety and efficacy of using cannabis to treat schizophrenia, psychosis, or other mental disorders. Another found that cannabis during adolescence was associated with an increased risk of developing depression and suicidal behavior later in life, while finding no effect on anxiety.",174
Cannabis (drug),Physical,"Heavy, long-term exposure to marijuana may have physical, mental, behavioral and social health consequences. It may be ""associated with diseases of the liver (particularly with co-existing hepatitis C), lungs, heart, and vasculature"". A 2014 review found that while cannabis use may be less harmful than alcohol use, the recommendation to substitute it for problematic drinking was premature without further study. Various surveys conducted between 2015 and 2019 found that many users of cannabis substitute it for prescription drugs (including opioids), alcohol, and tobacco; most of those who used it in place of alcohol or tobacco either reduced or stopped their intake of the latter substances.Cannabinoid hyperemesis syndrome (CHS) is a severe condition seen in some chronic cannabis users where they have repeated bouts of uncontrollable vomiting for 24–48 hours.
Four cases of death have been reported as a result of CHS.A limited number of studies have examined the effects of cannabis smoking on the respiratory system. Chronic heavy marijuana smoking is associated with respiratory infections, coughing, production of sputum, wheezing, and other symptoms of chronic bronchitis. The available evidence does not support a causal relationship between cannabis use and chronic obstructive pulmonary disease. Short-term use of cannabis is associated with bronchodilation. Other side effects of cannabis use include cannabinoid hyperemesis syndrome (CHS), a condition which involves recurrent nausea, cramping abdominal pain, and vomiting.Cannabis smoke contains thousands of organic and inorganic chemical compounds. This tar is chemically similar to that found in tobacco smoke, and over fifty known carcinogens have been identified in cannabis smoke, including; nitrosamines, reactive aldehydes, and polycylic hydrocarbons, including benz[a]pyrene. Cannabis smoke is also inhaled more deeply than tobacco smoke. As of 2015, there is no consensus regarding whether cannabis smoking is associated with an increased risk of cancer. Light and moderate use of cannabis is not believed to increase risk of lung or upper airway cancer. Evidence for causing these cancers is mixed concerning heavy, long-term use. In general there are far lower risks of pulmonary complications for regular cannabis smokers when compared with those of tobacco. A 2015 review found an association between cannabis use and the development of testicular germ cell tumors (TGCTs), particularly non-seminoma TGCTs. Another 2015 meta-analysis found no association between lifetime cannabis use and risk of head or neck cancer. Combustion products are not present when using a vaporizer, consuming THC in pill form, or consuming cannabis foods.There is concern that cannabis may contribute to cardiovascular disease, but as of 2018, evidence of this relationship was unclear. Research in these events is complicated because cannabis is often used in conjunction with tobacco, and drugs such as alcohol and cocaine that are known to have cardiovascular risk factors. Smoking cannabis has also been shown to increase the risk of myocardial infarction by 4.8 times for the 60 minutes after consumption.There is preliminary evidence that cannabis interferes with the anticoagulant properties of prescription drugs used for treating blood clots. As of 2019, the mechanisms for the anti-inflammatory and possible pain relieving effects of cannabis were not defined, and there were no governmental regulatory approvals or clinical practices for use of cannabis as a drug.",679
Cannabis (drug),Emergency department visits,"Emergency room (ER) admissions associated with cannabis use rose significantly from 2012 to 2016; adolescents from age 12–17 had the highest risk. At one Colorado medical center following legalization, approximately two percent of ER admissions were classified as cannabis users. The symptoms of one quarter of these users were partially attributed to cannabis (a total of 2567 out of 449,031 patients); other drugs were sometimes involved. Of these cannabis admissions, one quarter were for acute psychiatric effects, primarily suicidal ideation, depression, and anxiety. An additional third of the cases were for gastrointestinal issues including Cannabinoid hyperemesis syndrome.According to the United States Department of Health and Human Services, there were 455,000 emergency room visits associated with cannabis use in 2011. These statistics include visits in which the patient was treated for a condition induced by or related to recent cannabis use. The drug use must be ""implicated"" in the emergency department visit, but does not need to be the direct cause of the visit. Most of the illicit drug emergency room visits involved multiple drugs. In 129,000 cases, cannabis was the only implicated drug.",230
Cannabis (drug),Reproductive health,"There is sufficient evidence of reproductive health harms from cannabis that its use when trying to conceive, during pregnancy, and while breastfeeding, is not advisable.It has been recommended that cannabis use be stopped before and during pregnancy as it can result in negative outcomes for both the mother and baby, such as behavioral problems. However, maternal use of marijuana during pregnancy does not appear to be associated with low birth weight or early delivery after controlling for tobacco use and other confounding factors.",95
Cannabis (drug),Mechanism of action,"The high lipid-solubility of cannabinoids results in their persisting in the body for long periods of time. Even after a single administration of THC, detectable levels of THC can be found in the body for weeks or longer (depending on the amount administered and the sensitivity of the assessment method). Investigators have suggested that this is an important factor in marijuana's effects, perhaps because cannabinoids may accumulate in the body, particularly in the lipid membranes of neurons.Researchers confirmed that THC exerts its most prominent effects via its actions on two types of cannabinoid receptors, the CB1 receptor and the CB2 receptor, both of which are G protein-coupled receptors. The CB1 receptor is found primarily in the brain as well as in some peripheral tissues, and the CB2 receptor is found primarily in peripheral tissues, but is also expressed in neuroglial cells. THC appears to alter mood and cognition through its agonist actions on the CB1 receptors, which inhibit a secondary messenger system (adenylate cyclase) in a dose-dependent manner.
Via CB1 receptor activation, THC indirectly increases dopamine release and produces psychotropic effects. CBD also acts as an allosteric modulator of the μ- and δ-opioid receptors. THC also potentiates the effects of the glycine receptors. It is unknown if or how these actions contribute to the effects of cannabis.",282
Cannabis (drug),Chemical composition,"The main psychoactive component of cannabis is tetrahydrocannabinol (THC), which is formed via decarboxylation of tetrahydrocannabinolic acid (THCA) from the application of heat. Raw leaf is not psychoactive because the cannabinoids are in the form of carboxylic acids. THC is one of the 483 known compounds in the plant, including at least 65 other cannabinoids, such as cannabidiol (CBD).",98
Cannabis (drug),Detection in body fluids,"THC and its major (inactive) metabolite, THC-COOH, can be measured in blood, urine, hair, oral fluid or sweat using chromatographic techniques as part of a drug use testing program or a forensic investigation of a traffic or other criminal offense. The concentrations obtained from such analyses can often be helpful in distinguishing active use from passive exposure, elapsed time since use, and extent or duration of use. These tests cannot, however, distinguish authorized cannabis smoking for medical purposes from unauthorized recreational smoking. Commercial cannabinoid immunoassays, often employed as the initial screening method when testing physiological specimens for marijuana presence, have different degrees of cross-reactivity with THC and its metabolites. Urine contains predominantly THC-COOH, while hair, oral fluid and sweat contain primarily THC. Blood may contain both substances, with the relative amounts dependent on the recency and extent of usage.The Duquenois–Levine test is commonly used as a screening test in the field, but it cannot definitively confirm the presence of cannabis, as a large range of substances have been shown to give false positives. Researchers at John Jay College of Criminal Justice reported that dietary zinc supplements can mask the presence of THC and other drugs in urine. However, a 2013 study conducted by researchers at the University of Utah School of Medicine refute the possibility of self-administered zinc producing false-negative urine drug tests.",289
Cannabis (drug),Varieties and strains,"CBD is a 5-HT1A receptor agonist, which is under laboratory research to determine if it has an anxiolytic effect. It is often claimed that sativa strains provide a more stimulating psychoactive high while indica strains are more sedating with a body high. However, this is disputed by researchers.A 2015 review found that the use of high CBD-to-THC strains of cannabis showed significantly fewer positive symptoms, such as delusions and hallucinations, better cognitive function and both lower risk for developing psychosis, as well as a later age of onset of the illness, compared to cannabis with low CBD-to-THC ratios.",136
Cannabis (drug),Psychoactive ingredients,"According to the United Nations Office on Drugs and Crime (UNODC), ""the amount of THC present in a cannabis sample is generally used as a measure of cannabis potency."" The three main forms of cannabis products are the flower/fruit, resin (hashish), and oil (hash oil). The UNODC states that cannabis often contains 5% THC content, resin ""can contain up to 20% THC content"", and that ""Cannabis oil may contain more than 60% THC content.""A 2012 review found that the THC content in marijuana had increased worldwide from 1970 to 2009. It is unclear, however, whether the increase in THC content has caused people to consume more THC or if users adjust based on the potency of the cannabis. It is likely that the higher THC content allows people to ingest less tar. At the same time, CBD levels in seized samples have lowered, in part because of the desire to produce higher THC levels and because more illegal growers cultivate indoors using artificial lights. This helps avoid detection but reduces the CBD production of the plant.Australia's National Cannabis Prevention and Information Centre (NCPIC) states that the buds (infructescences) of the female cannabis plant contain the highest concentration of THC, followed by the leaves. The stalks and seeds have ""much lower THC levels"". The UN states that the leaves can contain ten times less THC than the buds, and the stalks one hundred times less THC.After revisions to cannabis scheduling in the UK, the government moved cannabis back from a class C to a class B drug. A purported reason was the appearance of high potency cannabis. They believe skunk accounts for between 70 and 80% of samples seized by police (despite the fact that skunk can sometimes be incorrectly mistaken for all types of herbal cannabis). Extracts such as hashish and hash oil typically contain more THC than high potency cannabis infructescences.",385
Cannabis (drug),Laced cannabis and synthetic cannabinoids,"Hemp buds (or low-potency cannabis buds) laced with synthetic cannabinoids started to be sold as cannabis street drug in 2020.The short-term effects of cannabis can be altered if it has been laced with opioid drugs such as heroin or fentanyl. The added drugs are meant to enhance the psychoactive properties, add to its weight, and increase profitability, despite the increased danger of overdose.",87
Cannabis (drug),Marijuana,"Marijuana or marihuana (herbal cannabis) consists of the dried flowers and fruits and subtending leaves and stems of the female cannabis plant. This is the most widely consumed form, containing 3% to 20% THC, with reports of up to 33% THC. This is the stock material from which all other preparations are derived. Although herbal cannabis and industrial hemp derive from the same species and contain the psychoactive component (THC), they are distinct strains with unique biochemical compositions and uses. Hemp has lower concentrations of THC and higher concentrations of CBD, which gives lesser psychoactive effects.",122
Cannabis (drug),Kief,"Kief is a powder, rich in trichomes, which can be sifted from the leaves, flowers and fruits of cannabis plants and either consumed in powder form or compressed to produce cakes of hashish. The word ""kif"" derives from colloquial Arabic كيف kēf/kīf, meaning pleasure.",73
Cannabis (drug),Hashish,"Hashish (also spelled hasheesh, hashisha, or simply hash) is a concentrated resin cake or ball produced from pressed kief, the detached trichomes and fine material that falls off cannabis fruits, flowers and leaves. or from scraping the resin from the surface of the plants and rolling it into balls. It varies in color from black to golden brown depending upon purity and variety of cultivar it was obtained from. It can be consumed orally or smoked, and is also vaporized, or 'vaped'. The term ""rosin hash"" refers to a high quality solventless product obtained through heat and pressure.",129
Cannabis (drug),Tincture,"Cannabinoids can be extracted from cannabis plant matter using high-proof spirits (often grain alcohol) to create a tincture, often referred to as ""green dragon"".: p17  Nabiximols is a branded product name from a tincture manufacturing pharmaceutical company.",63
Cannabis (drug),Hash oil,"Hash oil is a resinous matrix of cannabinoids obtained from the cannabis plant by solvent extraction, formed into a hardened or viscous mass. Hash oil can be the most potent of the main cannabis products because of its high level of psychoactive compound per its volume, which can vary depending on the plant's mix of essential oils and psychoactive compounds. Butane and supercritical carbon dioxide hash oil have become popular in recent years.",88
Cannabis (drug),Infusions,"There are many varieties of cannabis infusions owing to the variety of non-volatile solvents used. The plant material is mixed with the solvent and then pressed and filtered to express the oils of the plant into the solvent. Examples of solvents used in this process are cocoa butter, dairy butter, cooking oil, glycerine, and skin moisturizers. Depending on the solvent, these may be used in cannabis foods or applied topically.",94
Cannabis (drug),Marihuana prensada,"Marihuana prensada ('pressed marijuana') is a cannabis-derived product widespread among the lower classes of South America, especially from the 90s. Locally it is known as ""paraguayo"" or ""paragua"", since its main producer is Paraguay. Marijuana is dried and mixed with binding agents that make it toxic and highly harmful to health. It is cut into the shape of bricks (ladrillos) and sold for a low price in Argentina, Brazil, Chile, Peru, Venezuela, and even the United States.",115
Cannabis (drug),Ancient history,"Cannabis is indigenous to Central or South Asia and its uses for fabric and rope dates back to the Neolithic age in China and Japan. It is unclear when cannabis first became known for its psychoactive properties. The oldest archeological evidence for the burning of cannabis was found in Romanian kurgans dated 3,500 BC, and scholars suggest that the drug was first used in ritual ceremonies by Proto-Indo-European tribes living in the Pontic-Caspian steppe during the Chalcolithic period, a custom they eventually spread throughout Western Eurasia during the Indo-European migrations. Some research suggests that the ancient Indo-Iranian drug soma, mentioned in the Vedas, sometimes contained cannabis. This is based on the discovery of a basin containing cannabis in a shrine of the second millennium BC in Turkmenistan.Cannabis was known to the ancient Assyrians, who discovered its psychoactive properties through the Iranians. Using it in some religious ceremonies, they called it qunubu (meaning ""way to produce smoke""), a probable origin of the modern word ""cannabis"". The Iranians also introduced cannabis to the Scythians, Thracians and Dacians, whose shamans (the kapnobatai – ""those who walk on smoke/clouds"") burned cannabis infructescences to induce trance. The plant was used in China before 2800 BC, and found therapeutic use in India by 1000 BC, where it was used in food and drink, including bhang.

Cannabis has an ancient history of ritual use and has been used by religions around the world. It has been used as a drug for both recreational and entheogenic purposes and in various traditional medicines for centuries. The earliest evidence of cannabis smoking has been found in the 2,500-year-old tombs of Jirzankal Cemetery in the Pamir Mountains in Western China, where cannabis residue were found in burners with charred pebbles possibly used during funeral rituals. Hemp seeds discovered by archaeologists at Pazyryk suggest early ceremonial practices like eating by the Scythians occurred during the 5th to 2nd century BC, confirming previous historical reports by Herodotus. It was used by Muslims in various Sufi orders as early as the Mamluk period, for example by the Qalandars. Smoking pipes uncovered in Ethiopia and carbon-dated to around c. AD 1320 were found to have traces of cannabis.",505
Cannabis (drug),Modern history,"Cannabis was introduced to the New World by the Spaniards in 1530–1545. Following an 1836–1840 travel in North Africa and the Middle East, French physician Jacques-Joseph Moreau wrote on the psychological effects of cannabis use; he founded the Paris' Club des Hashischins in 1844. In 1842, Irish physician William Brooke O'Shaughnessy, who had studied the drug while working as a medical officer in Bengal with the East India Company, brought a quantity of cannabis with him on his return to Britain, provoking renewed interest in the West. Examples of classic literature of the period featuring cannabis include Les paradis artificiels (1860) by Charles Baudelaire and The Hasheesh Eater (1857) by Fitz Hugh Ludlow.

Cannabis was criminalized in some countries beginning in the 14th century and was illegal in most countries by the middle of the 20th century. The colonial government of Mauritius banned cannabis in 1840 over concerns on its effect on Indian indentured workers; the same occurred in Singapore in 1870. In the United States, the first restrictions on sale of cannabis came in 1906 (in the District of Columbia). Canada criminalized cannabis in The Opium and Narcotic Drug Act, 1923, before any reports of the use of the drug in Canada, but eventually legalized its consumption for recreational and medicinal purposes in 2018.In 1925, a compromise was made at an international conference in The Hague about the International Opium Convention that banned exportation of ""Indian hemp"" to countries that had prohibited its use, and requiring importing countries to issue certificates approving the importation and stating that the shipment was required ""exclusively for medical or scientific purposes"". It also required parties to ""exercise an effective control of such a nature as to prevent the illicit international traffic in Indian hemp and especially in the resin"". In the United States in 1937, the Marihuana Tax Act was passed, and prohibited the production of hemp in addition to cannabis.

In 1972, the Dutch government divided drugs into more- and less-dangerous categories, with cannabis being in the lesser category. Accordingly, possession of 30 grams (1.1 oz) or less was made a misdemeanor. Cannabis has been available for recreational use in coffee shops since 1976. Cannabis products are only sold openly in certain local ""coffeeshops"" and possession of up to 5 grams (0.18 oz) for personal use is decriminalized, however: the police may still confiscate it, which often happens in car checks near the border. Other types of sales and transportation are not permitted, although the general approach toward cannabis was lenient even before official decriminalization.In Uruguay, President Jose Mujica signed legislation to legalize recreational cannabis in December 2013, making Uruguay the first country in the modern era to legalize cannabis. In August 2014, Uruguay legalized growing up to six plants at home, as well as the formation of growing clubs (Cannabis social club), and a state-controlled marijuana dispensary regime.
As of 17 October 2018, when recreational use of cannabis was legalized in Canada, dietary supplements for human use and veterinary health products containing not more than 10 parts per million of THC extract were approved for marketing; Nabiximols (as Sativex) is used as a prescription drug in Canada.The United Nations' World Drug Report stated that cannabis ""was the world's most widely produced, trafficked, and consumed drug in the world in 2010"", and estimated between 128 million and 238 million users globally in 2015.",725
Cannabis (drug),Culture,"Cannabis has been one of the most used psychoactive drugs in the world since the late 20th century, following only tobacco and alcohol in popularity. According to Vera Rubin, the use of cannabis has been encompassed by two major cultural complexes over time: a continuous, traditional folk stream, and a more circumscribed, contemporary configuration. The former involves both sacred and secular use, and is usually based on small-scale cultivation: the use of the plant for cordage, clothing, medicine, food, and a ""general use as an euphoriant and symbol of fellowship."" The second stream of expansion of cannabis use encompasses ""the use of hemp for commercial manufacturers utilizing large-scale cultivation primarily as a fiber for mercantile purposes""; but it is also linked to the search for psychedelic experiences (which can be traced back to the formation of the Parisian Club des Hashischins).",182
